Ekstrawersja;Neurotyzm;Otwartosc
29.7;34.8;21.8
21.5;37.7;14.9
25.4;47.1;21.7
27.5;36.9;18.5
26.9;41.4;23.1
21.7;39.7;19.1
31.2;44.8;16.0
27.9;42.4;19.7
26.1;41.4;16.7
27.4;41.1;23.0
20.1;46.0;20.1
29.1;40.4;22.4
27.0;42.2;16.7
33.2;38.6;19.2
27.1;36.3;24.3
31.4;38.4;17.2
32.2;39.0;15.7
22.9;35.6;15.3
35.1;36.1;22.7
29.4;33.3;16.5
19.5;46.8;12.5
20.5;54.5;18.9
20.3;44.6;19.2
31.1;36.1;16.0
20.9;43.7;18.0
25.7;42.0;16.7
21.9;48.6;19.3
22.4;47.8;19.5
21.5;44.9;18.8
27.8;37.8;18.6
25.5;47.2;13.5
22.0;41.7;14.9
16.8;44.0;15.8
25.7;43.5;21.3
22.6;34.8;11.8
33.3;42.4;24.7
20.6;42.8;19.6
25.5;46.2;23.1
27.4;36.7;23.0
30.7;40.8;12.1
25.5;47.8;21.1
21.9;48.6;19.2
26.0;41.7;18.9
27.7;39.7;23.5
22.6;46.5;13.9
