Ekstrawersja;Neurotyzm;Otwartosc
28.1;41.9;24.1
29.7;33.1;20.1
29.1;42.9;18.9
26.2;44.7;20.6
23.8;40.7;15.9
25.9;47.5;16.8
22.5;46.9;13.9
33.3;42.0;22.5
25.1;48.1;16.9
26.8;46.0;18.5
24.9;42.4;16.6
23.3;42.2;24.2
22.6;46.5;18.1
22.3;35.7;21.2
22.4;39.7;9.4
21.8;36.8;15.0
23.4;43.1;19.5
24.7;34.4;15.8
25.6;46.5;15.4
30.9;35.3;22.3
28.1;38.2;17.5
25.4;42.1;19.5
19.5;53.6;18.5
28.7;36.7;23.8
17.6;46.4;15.4
23.2;44.0;20.2
19.0;52.0;17.4
25.1;43.7;18.3
30.0;41.1;19.1
27.8;31.9;19.3
20.0;49.1;16.6
22.4;42.2;22.7
16.5;40.9;19.4
22.3;47.0;14.6
22.4;51.9;17.5
24.0;40.4;18.6
33.2;37.4;14.7
31.8;28.2;15.6
27.4;38.7;17.3
24.6;37.1;18.2
23.8;45.3;19.1
20.8;43.5;18.1
30.8;37.3;13.8
29.7;46.5;22.1
28.4;39.5;23.2
