Ekstrawersja;Neurotyzm;Otwartosc
26.9;40.1;17.1
17.9;51.0;17.2
16.7;49.0;18.2
26.6;44.6;17.2
27.7;38.6;25.1
29.5;35.4;12.8
38.4;26.3;22.8
29.4;45.3;23.1
25.5;38.6;19.3
33.2;37.9;15.0
29.7;40.2;19.2
25.6;47.5;12.0
30.9;36.5;13.8
29.3;28.8;22.7
23.1;45.2;21.6
26.7;42.3;20.7
23.9;44.9;19.1
26.0;43.3;26.1
23.1;42.4;14.8
22.1;40.8;16.1
23.4;46.2;14.6
21.8;43.8;18.5
26.5;42.2;23.9
32.2;38.6;18.7
23.4;52.1;14.9
14.7;48.7;12.3
26.2;41.3;13.6
35.1;39.7;20.8
30.2;39.5;18.2
34.2;31.9;23.8
25.2;47.1;12.3
28.2;42.0;21.5
14.5;47.1;17.2
28.0;48.1;18.6
19.3;50.9;19.9
23.2;43.2;16.3
23.8;43.0;15.8
17.9;43.8;22.5
21.7;36.8;18.4
16.4;47.7;15.4
25.9;38.9;18.5
22.8;34.9;16.5
30.8;29.1;21.6
21.0;45.8;19.4
26.7;39.8;23.7
