Ekstrawersja;Neurotyzm;Otwartosc
25.1;36.2;14.0
23.9;46.3;18.3
28.4;40.7;20.4
23.9;41.3;22.2
27.5;36.4;17.5
23.0;41.9;18.1
17.4;46.7;23.5
26.2;36.4;20.6
25.8;43.3;22.1
19.6;52.2;21.7
27.4;38.5;12.9
23.2;41.6;21.2
25.2;36.3;23.6
21.5;45.5;16.9
21.0;47.3;14.0
27.9;38.2;17.9
26.6;44.0;13.3
21.5;38.1;25.0
30.8;41.2;19.5
23.8;39.9;20.1
24.8;45.5;17.2
25.8;46.2;19.7
23.1;43.7;19.8
27.3;35.7;19.5
25.8;41.8;20.2
24.9;40.2;19.3
22.7;44.1;16.9
23.8;42.9;21.4
38.3;31.1;19.2
25.8;38.0;23.9
26.3;42.6;12.8
19.4;49.4;21.8
24.6;42.0;23.0
28.0;41.0;18.7
28.2;39.2;20.4
20.4;51.1;19.4
17.4;45.1;17.7
29.7;37.6;14.2
17.7;50.0;11.3
18.9;47.2;19.4
28.2;34.7;19.5
16.7;48.5;13.3
19.7;41.3;17.3
37.0;39.0;19.3
16.1;46.4;20.7
